Index	V	I	R	T_coldhead	T_sample
390.000	0.098	0.010	9.755	11.243	10.126
391.000	0.098	0.010	9.757	11.243	10.147
392.000	0.098	0.010	9.763	11.255	10.147
393.000	0.098	0.010	9.762	11.255	10.168
394.000	0.098	0.010	9.764	11.267	10.168
395.000	0.098	0.010	9.759	11.267	10.189
396.000	0.098	0.010	9.763	11.279	10.189
397.000	0.097	0.010	9.745	11.279	10.211
398.000	0.098	0.010	9.760	11.290	10.211
399.000	0.098	0.010	9.754	11.290	10.232
400.000	0.098	0.010	9.757	11.300	10.232
401.000	0.098	0.010	9.761	11.300	10.252
402.000	0.098	0.010	9.770	11.309	10.252
403.000	0.098	0.010	9.766	11.309	10.273
404.000	0.098	0.010	9.769	11.318	10.273
405.000	0.098	0.010	9.755	11.326	10.295
406.000	0.098	0.010	9.754	11.326	10.295
407.000	0.098	0.010	9.757	11.333	10.316
408.000	0.098	0.010	9.757	11.333	10.316
409.000	0.098	0.010	9.752	11.342	10.338
410.000	0.097	0.010	9.748	11.342	10.338
411.000	0.098	0.010	9.760	11.355	10.359
412.000	0.098	0.010	9.752	11.355	10.359
413.000	0.098	0.010	9.752	11.370	10.380
414.000	0.098	0.010	9.762	11.370	10.380
415.000	0.098	0.010	9.762	11.383	10.402
416.000	0.097	0.010	9.750	11.383	10.402
417.000	0.097	0.010	9.749	11.395	10.424
418.000	0.097	0.010	9.745	11.395	10.424
419.000	0.098	0.010	9.755	11.407	10.445
420.000	0.098	0.010	9.759	11.407	10.445
421.000	0.098	0.010	9.763	11.418	10.466
422.000	0.098	0.010	9.752	11.418	10.466
423.000	0.098	0.010	9.761	11.429	10.487
424.000	0.098	0.010	9.754	11.429	10.509
425.000	0.098	0.010	9.768	11.438	10.509
426.000	0.098	0.010	9.757	11.438	10.531
427.000	0.098	0.010	9.766	11.446	10.531
428.000	0.098	0.010	9.766	11.457	10.554
429.000	0.098	0.010	9.758	11.457	10.554
430.000	0.098	0.010	9.769	11.471	10.577
431.000	0.098	0.010	9.770	11.471	10.577
432.000	0.098	0.010	9.772	11.487	10.600
433.000	0.098	0.010	9.770	11.487	10.600
